season,day_num,team1,team2,win_ind
1985,136,1116,1234,True
1985,136,1120,1345,True
1985,136,1207,1250,True
1985,136,1229,1425,True
1985,136,1242,1325,True
1985,136,1246,1449,True
1985,136,1256,1338,True
1985,136,1260,1233,True
1985,136,1314,1292,True
1985,136,1323,1333,True
1985,136,1326,1235,True
1985,136,1328,1299,True
1985,136,1374,1330,True
1985,136,1385,1380,True
1985,136,1396,1439,True
1985,136,1424,1361,True
1985,137,1104,1112,True
1985,137,1130,1403,True
1985,137,1181,1337,True
1985,137,1208,1455,True
1985,137,1210,1273,True
1985,137,1228,1318,True
1985,137,1268,1275,True
1985,137,1272,1335,True
1985,137,1276,1192,True
1985,137,1298,1261,True
1985,137,1301,1305,True
1985,137,1393,1177,True
1985,137,1412,1277,True
1985,137,1431,1409,True
1985,137,1433,1267,True
1985,137,1437,1173,True
1985,138,1120,1242,True
1985,138,1207,1396,True
1985,138,1246,1424,True
1985,138,1256,1326,True
1985,138,1260,1374,True
1985,138,1314,1323,True
1985,138,1328,1229,True
1985,138,1385,1116,True
1985,139,1104,1433,True
1985,139,1130,1181,True
1985,139,1210,1393,True
1985,139,1228,1208,True
1985,139,1268,1298,True
1985,139,1272,1412,True
1985,139,1301,1431,True
1985,139,1437,1276,True
1985,143,1207,1260,True
1985,143,1210,1228,True
1985,143,1272,1130,True
1985,143,1328,1256,True
1985,144,1301,1104,True
1985,144,1314,1120,True
1985,144,1385,1246,True
1985,144,1437,1268,True
1985,145,1207,1210,True
1985,145,1272,1328,True
1985,146,1385,1301,True
1985,146,1437,1314,True
1985,152,1207,1385,True
1985,152,1437,1272,True
1985,154,1437,1207,True
1986,136,1133,1431,True
1986,136,1177,1438,True
1986,136,1181,1290,True
1986,136,1207,1403,True
1986,136,1210,1265,True
1986,136,1242,1299,True
1986,136,1257,1180,True
1986,136,1261,1345,True
1986,136,1272,1123,True
1986,136,1277,1449,True
1986,136,1314,1428,True
1986,136,1328,1318,True
1986,136,1330,1452,True
1986,136,1396,1239,True
1986,136,1412,1281,True
1986,136,1437,1439,True
1986,137,1104,1462,True
1986,137,1114,1323,True
1986,137,1120,1112,True
1986,137,1156,1231,True
1986,137,1228,1193,True
1986,137,1235,1275,True
1986,137,1246,1172,True
1986,137,1268,1337,True
1986,137,1276,1103,True
1986,137,1298,1409,True
1986,137,1301,1234,True
1986,137,1385,1286,True
1986,137,1386,1350,True
1986,137,1393,1135,True
1986,137,1424,1419,True
1986,137,1443,1304,True
1986,138,1177,1328,True
1986,138,1181,1330,True
1986,138,1210,1437,True
1986,138,1242,1396,True
1986,138,1257,1133,True
1986,138,1261,1272,True
1986,138,1277,1207,True
1986,138,1314,1412,True
1986,139,1104,1228,True
1986,139,1120,1385,True
1986,139,1156,1386,True
1986,139,1235,1276,True
1986,139,1246,1443,True
1986,139,1298,1393,True
1986,139,1301,1114,True
1986,139,1424,1268,True
1986,143,1120,1424,True
1986,143,1246,1104,True
1986,143,1257,1314,True
1986,143,1261,1210,True
1986,144,1181,1177,True
1986,144,1242,1277,True
1986,144,1298,1156,True
1986,144,1301,1235,True
1986,145,1257,1120,True
1986,145,1261,1246,True
1986,146,1181,1298,True
1986,146,1242,1301,True
1986,152,1181,1242,True
1986,152,1257,1261,True
1986,154,1257,1181,True
1987,136,1104,1299,True
1987,136,1120,1360,True
1987,136,1122,1228,True
1987,136,1181,1401,True
1987,136,1231,1193,True
1987,136,1243,1208,True
1987,136,1276,1298,True
1987,136,1309,1140,True
1987,136,1314,1335,True
1987,136,1323,1292,True
1987,136,1344,1412,True
1987,136,1395,1267,True
1987,136,1417,1141,True
1987,136,1424,1226,True
1987,136,1461,1438,True
1987,136,1462,1281,True
1987,137,1177,1256,True
1987,137,1196,1301,True
1987,137,1207,1137,True
1987,137,1234,1365,True
1987,137,1242,1222,True
1987,137,1261,1210,True
1987,137,1283,1155,True
1987,137,1326,1246,True
1987,137,1328,1409,True
1987,137,1338,1265,True
1987,137,1345,1318,True
1987,137,1385,1455,True
1987,137,1393,1204,True
1987,137,1396,1380,True
1987,137,1431,1112,True
1987,137,1443,1452,True
1987,138,1104,1309,True
1987,138,1181,1462,True
1987,138,1231,1120,True
1987,138,1314,1276,True
1987,138,1323,1395,True
1987,138,1344,1122,True
1987,138,1424,1243,True
1987,138,1461,1417,True
1987,139,1177,1385,True
1987,139,1196,1345,True
1987,139,1207,1326,True
1987,139,1234,1431,True
1987,139,1242,1283,True
1987,139,1261,1396,True
1987,139,1328,1338,True
1987,139,1393,1443,True
1987,143,1207,1242,True
1987,143,1314,1323,True
1987,143,1344,1104,True
1987,143,1393,1196,True
1987,144,1231,1181,True
1987,144,1234,1328,True
1987,144,1261,1177,True
1987,144,1424,1461,True
1987,145,1344,1207,True
1987,145,1393,1314,True
1987,146,1231,1261,True
1987,146,1424,1234,True
1987,152,1231,1424,True
1987,152,1393,1344,True
1987,154,1231,1393,True
1988,136,1120,1133,True
1988,136,1140,1150,True
1988,136,1177,1455,True
1988,136,1181,1131,True
1988,136,1196,1385,True
1988,136,1243,1247,True
1988,136,1257,1333,True
1988,136,1258,1461,True
1988,136,1272,1124,True
1988,136,1276,1129,True
1988,136,1314,1317,True
1988,136,1328,1151,True
1988,136,1345,1192,True
1988,136,1348,1281,True
1988,136,1374,1323,True
1988,136,1393,1299,True
1988,137,1112,1165,True
1988,137,1207,1261,True
1988,137,1210,1235,True
1988,137,1228,1427,True
1988,137,1234,1199,True
1988,137,1242,1462,True
1988,137,1246,1380,True
1988,137,1268,1364,True
1988,137,1293,1301,True
1988,137,1338,1185,True
1988,137,1350,1231,True
1988,137,1371,1431,True
1988,137,1396,1250,True
1988,137,1424,1283,True
1988,137,1435,1429,True
1988,137,1437,1116,True
1988,138,1181,1374,True
1988,138,1243,1177,True
1988,138,1257,1140,True
1988,138,1276,1196,True
1988,138,1314,1258,True
1988,138,1328,1120,True
1988,138,1345,1272,True
